make all && bin/test_stats --gtest_filter=Stats.Opt
mkdir -p `dirname tmp/test_stats.cpp.d`
c++ -pthread -Iinclude -g -O2 -std=c++17 -fPIC -Ilib/googletest-1.8.1/googletest/include -Ilib/googletest-1.8.1/googlemock/include -MM -MT 'tmp/test_stats.cpp.o' src/test_stats.cpp > tmp/test_stats.cpp.d
mkdir -p `dirname tmp/test_stats.cpp.o`
c++ -pthread -Iinclude -g -O2 -std=c++17 -fPIC -Ilib/googletest-1.8.1/googletest/include -Ilib/googletest-1.8.1/googlemock/include -c -o tmp/test_stats.cpp.o src/test_stats.cpp
mkdir -p `dirname bin/test_stats`
c++ -pthread -Iinclude -g -O2 -std=c++17 -fPIC -Ilib/googletest-1.8.1/googletest/include -Ilib/googletest-1.8.1/googlemock/include -o bin/test_stats tmp/test_stats.cpp.o tmp/messenger.cpp.o tmp/rng.cpp.o tmp/deck.cpp.o tmp/hello.cpp.o tmp/search.cpp.o tmp/card.cpp.o  lib/libgooglemock-1.8.1.so lib/libgoogletest-1.8.1.so
Note: Google Test filter = Stats.Opt
[==========] Running 1 test from 1 test case.
[----------] Global test environment set-up.
[----------] 1 test from Stats
[ RUN      ] Stats.Opt
n,cipherZth,cipherOffset,cutZth,cutOffset,cipherMean,cipherSd,cipher2Mean,cipher2Sd,cutMean,cutSd,cut2Mean,cut2Sd,xyMean,xySd
10,0,0,1,37,-1.39268,1.22854,68.4918,3.22787,-0.123172,1.76257,63.4404,5.15385,324.804,0.226074
10,0,0,1,38,3.1154,6.9153,70.0752,18.2404,1.41554,2.73109,69.4471,14.2251,325.475,2.36521
10,0,0,1,39,1.61522,2.32709,64.575,2.36913,1.93928,2.36297,66.1851,2.53472,324.76,0.799099
10,0,0,2,-1,-1.18067,0.847187,60.403,15.9445,-0.337971,3.3816,327.209,10.6995,327.429,12.8879
10,0,0,2,0,2.73789,5.78516,68.4526,8.98365,2.98232,8.54036,325.536,2.68092,325.666,3.07455
10,0,0,2,1,4.1854,2.73469,56.5527,6.15344,3.25704,2.23528,67.1978,4.97837,361.854,4.3949
10,0,0,2,2,26.5391,128.884,140.632,461.268,27.8752,139.248,167.146,485.396,437.928,367.595
10,0,0,2,3,1.51308,0.224484,47.3112,0.588938,-1.13718,0.228202,63.8522,0.930372,361.784,0.889592
10,0,0,2,4,2.91123,2.29397,44.4171,2.4096,0.653496,1.54393,66.7898,4.23965,362.143,5.91413
10,0,0,2,5,0.0840488,1.84981,59.2331,2.81547,0.904111,2.06597,34.9905,1.93336,405.592,3.6728
10,0,0,2,35,0.979922,1.86119,59.1816,3.45691,1.98091,1.88808,34.2109,3.0357,406.953,3.39556
10,0,0,2,36,3.68632,4.48077,47.6054,1.11347,0.724832,2.2292,64.813,4.07799,361.681,2.40743
10,0,0,2,37,0.888531,6.74291,49.7905,15.8313,0.116382,6.03444,66.8116,13.3322,363.158,4.54801
10,0,0,2,38,1.39036,1.92046,35.3775,3.70551,3.78775,5.26388,67.7345,4.14527,362.373,6.33914
10,0,0,2,39,-0.972131,1.04042,58.0467,5.30615,3.18565,4.53893,67.3326,7.07435,354.94,2.88321
10,0,0,3,-1,1.18032,3.20034,70.2955,19.8024,0.677833,4.71294,326.216,6.57645,325.822,4.55286
10,0,0,3,0,1.42416,4.54707,331.364,2.65314,0.99823,7.06323,325.548,2.44028,325.558,2.22201
